"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,2.866279E-06
0,6,0.0001259218
0,9,0.0008554666
0,12,0.002991476
0,15,0.007474296
0,18,0.01523385
0,21,0.02706699
0,24,0.04355787
0,27,0.0650427
0,30,0.09161046
0,33,0.1231263
0,36,0.1592666
0,39,0.1995595
0,42,0.2434265
0,45,0.2902208
0,48,0.3392601
0,51,0.389856
0,54,0.4413367
0,57,0.493065
0,60,0.5444527
0,63,0.5949696
0,66,0.6441495
0,69,0.6915925
0,72,0.7369666
0,75,0.7800061
0,78,0.8205093
0,81,0.8583336
0,84,0.8933903
0,87,0.92564
0,90,0.9550861
0,93,0.9817671
0,96,1.00575
0,99,1.027127
0,102,1.046009
0,105,1.062521
0,108,1.076795
0,111,1.088968
0,114,1.09918
0,117,1.107573
0,120,1.114287
0,135,1.127146
0,150,1.11551
0,165,1.089515
0,180,1.055161
0,195,1.014824
0,210,0.9675339
0,225,0.9101494
0,240,0.8438124
0,255,0.7795784
0,270,0.7246457
0,285,0.6776398
0,300,0.6361954
0,315,0.598988
0,330,0.5652369
0,345,0.5343838
0,360,0.5059913
0,375,0.4797085
0,390,0.4552523
0,405,0.4323947
0,420,0.4109515
0,435,0.3907734
0,450,0.3717386
0,465,0.3537465
0,480,0.336713
0,495,0.3205671
0,510,0.3052477
0,525,0.2907013
0,540,0.2768809
0,555,0.2637442
0,570,0.2512531
0,585,0.2393724
0,600,0.2280702
0,615,0.2173163
0,630,0.2070829
0,645,0.1973438
0,660,0.1880745
0,675,0.1792517
0,690,0.1708536
0,705,0.1628593
0,720,0.1552493
0,735,0.1480048
0,750,0.1411082
0,765,0.1345426
0,780,0.128292
0,795,0.1223413
0,810,0.1166759
0,825,0.111282
0,840,0.1061466
0,855,0.1012572
0,870,0.09660188
0,885,0.09216942
0,900,0.08794902
0,915,0.08393046
0,930,0.08010399
0,945,0.07646034
0,960,0.07299066
0,975,0.06968658
0,990,0.06654006
0,1005,0.06354351
0,1020,0.06068968
0,1035,0.05797166
0,1050,0.05538287
0,1065,0.05291709
0,1080,0.05056835
0,1095,0.04833099
0,1110,0.04619962
0,1125,0.04416911
0,1140,0.04223459
0,1155,0.0403914
0,1170,0.03863513
0,1185,0.03696158
0,1200,0.03536674
0,1215,0.03384679
0,1230,0.03239813
0,1245,0.03101729
0,1260,0.02970101
0,1275,0.02844615
0,1290,0.02724975
0,1305,0.02610898
0,1320,0.02502115
0,1335,0.02398371
0,1350,0.02299423
0,1365,0.02205038
0,1380,0.02114998
0,1395,0.02029091
0,1410,0.0194712
0,1425,0.01868895
0,1440,0.01794234
0,1455,0.01722967
0,1470,0.01654931
0,1485,0.0158997
0,1500,0.01527937
0,1515,0.01468691
0,1530,0.01412099
0,1545,0.01358033
0,1560,0.01306374
0,1575,0.01257005
0,1590,0.01209818
0,1605,0.01164708
0,1620,0.01121577
0,1635,0.01080331
0,1650,0.01040879
0,1665,0.01003137
0,1680,0.009670247
0,1695,0.009324639
0,1710,0.008993817
0,1725,0.008677086
0,1740,0.00837378
0,1755,0.008083272
0,1770,0.007804959
0,1785,0.007538272
0,1800,0.007282668
0,1815,0.00703763
0,1830,0.006802669
0,1845,0.006577316
0,1860,0.006361127
0,1875,0.006153679
0,1890,0.005954569
0,1905,0.005763416
0,1920,0.005579854
1,0,0
1,3,2.025849E-06
1,6,8.367602E-05
1,9,0.0005582756
1,12,0.00196429
1,15,0.004983131
1,18,0.01034029
1,21,0.01871302
1,24,0.03066199
1,27,0.0465855
1,30,0.06669216
1,33,0.09098695
1,36,0.119271
1,39,0.1511558
1,42,0.1860905
1,45,0.2234029
1,48,0.2623492
1,51,0.302166
1,54,0.342119
1,57,0.3815427
1,60,0.4198675
1,63,0.4566338
1,66,0.4914926
1,69,0.5241977
1,72,0.5545942
1,75,0.5826017
1,78,0.6082
1,81,0.631416
1,84,0.6523111
1,87,0.6709712
1,90,0.6874994
1,93,0.7020114
1,96,0.7146313
1,99,0.7254872
1,102,0.734707
1,105,0.7424149
1,108,0.7487319
1,111,0.7537784
1,114,0.7576727
1,117,0.7605255
1,120,0.762437
1,135,0.7610661
1,150,0.7482339
1,165,0.7304026
1,180,0.7112808
1,195,0.6925604
1,210,0.6744685
1,225,0.6559379
1,240,0.6340801
1,255,0.6023366
1,270,0.5516679
1,285,0.4953058
1,300,0.4551538
1,315,0.4263055
1,330,0.4023736
1,345,0.3811103
1,360,0.3617092
1,375,0.3437741
1,390,0.3270593
1,405,0.3113947
1,420,0.2966558
1,435,0.282748
1,450,0.2695966
1,465,0.2571415
1,480,0.2453323
1,495,0.234126
1,510,0.223485
1,525,0.2133758
1,540,0.2037683
1,555,0.1946348
1,570,0.1859499
1,585,0.1776901
1,600,0.1698332
1,615,0.1623587
1,630,0.1552472
1,645,0.1484803
1,660,0.1420407
1,675,0.1359121
1,690,0.1300791
1,705,0.1245269
1,720,0.1192417
1,735,0.1142102
1,750,0.10942
