"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,1.586723E-05
0,6,0.0005245963
0,9,0.003281093
0,12,0.01121547
0,15,0.02787518
0,18,0.05661708
0,21,0.09960262
0,24,0.1569853
0,27,0.2268038
0,30,0.3056457
0,33,0.389578
0,36,0.4748659
0,39,0.5583243
0,42,0.6374167
0,45,0.7102187
0,48,0.7753673
0,51,0.8320014
0,54,0.8796941
0,57,0.9183919
0,60,0.9483537
0,63,0.9700778
0,66,0.9842455
0,69,0.9916555
0,72,0.993172
0,75,0.9896811
0,78,0.9820499
0,81,0.9711032
0,84,0.9576005
0,87,0.9422248
0,90,0.9255759
0,93,0.9081685
0,96,0.8904352
0,99,0.8727309
0,102,0.8553388
0,105,0.8384782
0,108,0.8223124
0,111,0.8069564
0,114,0.7924852
0,117,0.7789406
0,120,0.7663373
0,135,0.7167035
0,150,0.685114
0,165,0.6650054
0,180,0.6510295
0,195,0.6393281
0,210,0.626715
0,225,0.6091557
0,240,0.5788065
0,255,0.5245306
0,270,0.4641014
0,285,0.4245539
0,300,0.3978541
0,315,0.3760174
0,330,0.3565467
0,345,0.3386826
0,360,0.3221112
0,375,0.3066539
0,390,0.2921872
0,405,0.278617
0,420,0.2658669
0,435,0.2538725
0,450,0.2425782
0,465,0.2319348
0,480,0.2218981
0,495,0.2124281
0,510,0.2034883
0,525,0.1950451
0,540,0.1870674
0,555,0.1795263
0,570,0.172395
0,585,0.1656486
0,600,0.1592636
0,615,0.1532181
0,630,0.1474918
0,645,0.1420653
0,660,0.1369207
0,675,0.1320412
0,690,0.1274108
0,705,0.1230146
0,720,0.1188387
0,735,0.11487
0,750,0.1110962
0,765,0.1075056
0,780,0.1040874
0,795,0.1008313
0,810,0.09772783
0,825,0.09476794
0,840,0.09194315
0,855,0.08924556
0,870,0.08666769
0,885,0.08420255
0,900,0.08184358
0,915,0.07958462
0,930,0.07741988
0,945,0.07534395
0,960,0.07335174
0,975,0.07143848
0,990,0.06959968
0,1005,0.06783116
0,1020,0.06612898
0,1035,0.06448946
0,1050,0.06290913
0,1065,0.06138476
0,1080,0.05991331
0,1095,0.05849193
0,1110,0.05711797
0,1125,0.0557889
0,1140,0.05450241
0,1155,0.0532563
0,1170,0.0520485
0,1185,0.05087709
0,1200,0.04974028
0,1215,0.04863638
0,1230,0.0475638
0,1245,0.04652106
0,1260,0.04550676
0,1275,0.04451962
0,1290,0.04355841
0,1305,0.04262199
0,1320,0.04170929
0,1335,0.0408193
0,1350,0.03995108
0,1365,0.03910376
0,1380,0.0382765
0,1395,0.03746852
0,1410,0.03667911
0,1425,0.03590756
