"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,2.113126E-06
0,12,0.0001377067
0,18,0.001637478
0,24,0.008598355
0,30,0.02821607
0,36,0.06877364
0,42,0.1369787
0,48,0.2361863
0,54,0.3659878
0,60,0.5228527
0,66,0.7012497
0,72,0.8947753
0,78,1.097033
0,84,1.302193
0,90,1.505272
0,96,1.702209
0,102,1.889819
0,108,2.06569
0,114,2.228057
0,120,2.375687
0,126,2.507775
0,132,2.623873
0,138,2.723827
0,144,2.807742
0,150,2.87595
0,156,2.92899
0,162,2.967593
0,168,2.992658
0,174,3.005229
0,180,3.006469
0,186,2.997623
0,192,2.979985
0,198,2.954854
0,204,2.923499
0,210,2.88713
0,216,2.846864
0,222,2.80371
0,228,2.758555
0,234,2.712165
0,240,2.665178
0,246,2.618118
0,252,2.571399
0,258,2.525343
0,264,2.480187
0,270,2.436102
0,276,2.393199
0,282,2.351546
0,288,2.311173
0,294,2.272083
0,300,2.234258
0,306,2.197666
0,312,2.162262
0,318,2.127998
0,324,2.094819
0,330,2.06267
0,336,2.031495
0,342,2.00124
0,348,1.97185
0,354,1.943277
0,360,1.915473
0,366,1.888391
0,372,1.861992
0,378,1.836235
0,384,1.811085
0,390,1.786508
0,396,1.762473
0,402,1.738953
0,408,1.715922
0,414,1.693354
0,420,1.671229
0,426,1.649527
0,432,1.628228
0,438,1.607316
0,444,1.586774
0,450,1.566589
0,456,1.546747
0,462,1.527235
0,468,1.508043
0,474,1.489159
0,480,1.470574
0,486,1.452278
0,492,1.434263
0,498,1.41652
0,504,1.399043
0,510,1.381825
0,516,1.364858
0,522,1.348137
0,528,1.331655
0,534,1.315407
0,540,1.299388
0,546,1.283592
0,552,1.268016
0,558,1.252654
0,564,1.237503
0,570,1.222557
0,576,1.207814
0,582,1.193268
0,588,1.178918
0,594,1.164759
0,600,1.150787
0,606,1.137
0,612,1.123395
0,618,1.109967
0,624,1.096716
0,630,1.083637
0,636,1.070727
0,642,1.057986
0,648,1.045408
0,654,1.032993
0,660,1.020737
0,666,1.008639
0,672,0.996695
0,678,0.9849039
0,684,0.9732633
0,690,0.9617709
0,696,0.9504246
0,702,0.9392222
0,708,0.9281618
0,714,0.9172415
0,720,0.9064591
0,726,0.8958129
0,732,0.8853009
0,738,0.8749213
0,744,0.8646724
0,750,0.8545522
0,756,0.8445592
0,762,0.8346916
0,768,0.8249477
0,774,0.8153258
0,780,0.8058244
0,786,0.7964419
0,792,0.7871766
0,798,0.7780271
0,804,0.7689918
0,810,0.7600692
0,816,0.7512578
0,822,0.7425563
0,828,0.7339632
0,834,0.725477
0,840,0.7170964
0,846,0.7088201
0,852,0.7006466
0,858,0.6925747
0,864,0.684603
0,870,0.6767303
0,876,0.6689552
0,882,0.6612766
0,888,0.6536932
0,894,0.6462038
0,900,0.6388072
0,906,0.6315021
0,912,0.6242875
0,918,0.6171622
0,924,0.6101249
0,930,0.6031748
0,936,0.5963105
0,942,0.5895311
0,948,0.5828354
0,954,0.5762224
0,960,0.5696909
0,966,0.5632401
0,972,0.5568689
0,978,0.5505762
0,984,0.5443611
0,990,0.5382226
0,996,0.5321597
0,1002,0.5261714
0,1008,0.5202568
0,1014,0.5144151
0,1020,0.5086452
0,1026,0.5029462
0,1032,0.4973173
0,1038,0.4917575
0,1044,0.486266
0,1050,0.480842
0,1056,0.4754845
0,1062,0.4701927
0,1068,0.4649659
0,1074,0.4598031
0,1080,0.4547036
0,1086,0.4496666
0,1092,0.4446912
0,1098,0.4397768
0,1104,0.4349225
0,1110,0.4301275
0,1116,0.4253912
0,1122,0.4207128
0,1128,0.4160915
0,1134,0.4115266
0,1140,0.4070175
0,1146,0.4025633
0,1152,0.3981635
0,1158,0.3938173
0,1164,0.3895241
0,1170,0.3852831
0,1176,0.3810938
0,1182,0.3769554
0,1188,0.3728674
0,1194,0.368829
0,1200,0.3648398
0,1206,0.3608989
0,1212,0.3570059
0,1218,0.3531601
0,1224,0.349361
0,1230,0.3456079
0,1236,0.3419002
0,1242,0.3382375
0,1248,0.334619
0,1254,0.3310443
0,1260,0.3275129
0,1266,0.324024
0,1272,0.3205773
0,1278,0.3171722
0,1284,0.3138082
0,1290,0.3104847
0,1296,0.3072012
0,1302,0.3039573
0,1308,0.3007523
0,1314,0.297586
0,1320,0.2944576
0,1326,0.2913668
0,1332,0.2883132
0,1338,0.2852961
0,1344,0.2823152
0,1350,0.27937
0,1356,0.2764601
0,1362,0.273585
0,1368,0.2707442
0,1374,0.2679374
0,1380,0.2651641
0,1386,0.2624239
0,1392,0.2597163
0,1398,0.257041
0,1404,0.2543975
0,1410,0.2517855
0,1416,0.2492045
0,1422,0.2466542
0,1428,0.2441342
0,1434,0.241644
0,1440,0.2391834
0,1446,0.2367537
0,1452,0.234478
0,1458,0.2335374
0,1464,0.2378989
0,1470,0.2545816
0,1476,0.2917439
0,1482,0.3561025
0,1488,0.451155
0,1494,0.5767075
0,1500,0.7294438
0,1506,0.9039958
0,1512,1.094054
0,1518,1.293251
0,1524,1.495741
0,1530,1.696491
0,1536,1.891381
0,1542,2.077167
0,1548,2.251378
0,1554,2.412204
0,1560,2.55837
0,1566,2.689044
0,1572,2.803753
0,1578,2.902328
0,1584,2.984859
0,1590,3.051674
0,1596,3.103307
0,1602,3.140485
0,1608,3.164106
0,1614,3.175219
0,1620,3.174984
0,1626,3.164653
0,1632,3.145519
0,1638,3.118888
0,1644,3.086032
0,1650,3.048162
0,1656,3.006401
0,1662,2.96176
0,1668,2.91513
0,1674,2.867277
0,1680,2.818841
0,1686,2.770345
0,1692,2.722208
0,1698,2.674748
0,1704,2.628206
0,1710,2.582749
0,1716,2.538492
0,1722,2.4955
0,1728,2.453804
0,1734,2.413407
0,1740,2.37429
0,1746,2.336421
0,1752,2.299755
0,1758,2.264243
0,1764,2.229831
0,1770,2.196462
0,1776,2.164082
0,1782,2.132634
0,1788,2.102067
0,1794,2.072328
0,1800,2.043371
0,1806,2.015151
0,1812,1.987624
0,1818,1.960753
0,1824,1.9345
0,1830,1.908834
0,1836,1.883721
0,1842,1.859135
0,1848,1.835049
0,1854,1.811439
0,1860,1.788282
0,1866,1.765559
0,1872,1.743251
0,1878,1.72134
0,1884,1.699811
0,1890,1.678649
0,1896,1.65784
0,1902,1.637373
0,1908,1.617234
0,1914,1.597415
0,1920,1.577904
0,1926,1.558692
0,1932,1.539771
0,1938,1.521132
0,1944,1.502768
0,1950,1.484672
0,1956,1.466837
0,1962,1.449256
0,1968,1.431924
0,1974,1.414835
0,1980,1.397984
0,1986,1.381365
