"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,4.700886E-07
0,6,2.163735E-05
0,9,0.0001958246
0,12,0.0009695775
0,15,0.003309954
0,18,0.008740327
0,21,0.01918207
0,24,0.03668065
0,27,0.06311525
0,30,0.09996425
0,33,0.1481601
0,36,0.2080404
0,39,0.2793734
0,42,0.3614384
0,45,0.4531327
0,48,0.5530879
0,51,0.6597806
0,54,0.7716263
0,57,0.8870546
0,60,1.004565
0,63,1.122763
0,66,1.240387
0,69,1.356316
0,72,1.469572
0,75,1.579316
0,78,1.684841
0,81,1.78556
0,84,1.880994
0,87,1.970764
0,90,2.054578
0,93,2.132222
0,96,2.20355
0,99,2.268479
0,102,2.326983
0,105,2.379084
0,108,2.424852
0,111,2.464401
0,114,2.497882
0,117,2.525486
0,120,2.547436
0,135,2.582173
0,150,2.522672
0,165,2.412687
0,180,2.287967
0,195,2.170231
0,210,2.068553
0,225,1.984112
0,240,1.914521
0,255,1.856464
0,270,1.806913
0,285,1.7635
0,300,1.72451
0,315,1.688756
0,330,1.655433
0,345,1.623993
0,360,1.594065
0,375,1.565389
0,390,1.537779
0,405,1.511099
0,420,1.485245
0,435,1.460137
0,450,1.435709
0,465,1.411909
0,480,1.388691
0,495,1.366019
0,510,1.34386
0,525,1.322188
0,540,1.300978
0,555,1.28021
0,570,1.259864
0,585,1.239925
0,600,1.220378
0,615,1.20121
0,630,1.182408
0,645,1.163963
0,660,1.145862
0,675,1.128098
0,690,1.110662
0,705,1.093545
0,720,1.07674
0,735,1.060238
0,750,1.044035
0,765,1.028122
0,780,1.012493
0,795,0.9971428
0,810,0.9820648
0,825,0.9672536
0,840,0.9527035
0,855,0.9384092
0,870,0.9243656
0,885,0.9105675
0,900,0.89701
0,915,0.8836884
0,930,0.870598
0,945,0.857734
0,960,0.8450922
0,975,0.8326681
0,990,0.8204575
0,1005,0.808456
0,1020,0.7966597
0,1035,0.7850645
0,1050,0.7736666
0,1065,0.7624619
0,1080,0.7514468
0,1095,0.7406177
0,1110,0.7299708
0,1125,0.7195026
0,1140,0.7092097
0,1155,0.6990887
0,1170,0.6891361
0,1185,0.6793489
0,1200,0.6697237
0,1215,0.6602574
0,1230,0.6509469
0,1245,0.6417894
0,1260,0.6327817
0,1275,0.623921
0,1290,0.6152046
0,1305,0.6066296
0,1320,0.5981932
0,1335,0.5898929
0,1350,0.5817261
0,1365,0.5736902
0,1380,0.5657826
0,1395,0.5580011
0,1410,0.5503431
0,1425,0.5428063
0,1440,0.5353885
1,0,0
1,3,9.081186E-07
1,6,4.790283E-05
1,9,0.0005063829
1,12,0.002658884
1,15,0.009049931
1,18,0.02312396
1,21,0.04842815
1,24,0.08784551
1,27,0.1431214
1,30,0.2147211
1,33,0.3019426
1,36,0.4031681
1,39,0.5161642
1,42,0.6383663
1,45,0.7671142
1,48,0.899821
1,51,1.034085
1,54,1.167753
1,57,1.298953
1,60,1.426088
1,63,1.54783
1,66,1.663092
1,69,1.771007
1,72,1.870903
1,75,1.962273
1,78,2.044763
1,81,2.118151
1,84,2.182334
1,87,2.23732
1,90,2.283217
1,93,2.32023
1,96,2.348655
1,99,2.368874
1,102,2.381348
1,105,2.386607
1,108,2.385244
1,111,2.377901
1,114,2.365254
1,117,2.347997
1,120,2.326828
1,135,2.185113
1,150,2.029984
1,165,1.896374
1,180,1.792277
1,195,1.713341
1,210,1.65245
1,225,1.603538
1,240,1.562372
1,255,1.52626
1,270,1.493561
1,285,1.463291
1,300,1.43485
1,315,1.40786
1,330,1.382073
1,345,1.357316
1,360,1.333459
1,375,1.310407
1,390,1.28808
1,405,1.266415
1,420,1.245359
1,435,1.224869
1,450,1.204905
1,465,1.185437
1,480,1.166436
1,495,1.147878
1,510,1.129741
1,525,1.112007
1,540,1.094659
1,555,1.077682
1,570,1.061062
1,585,1.044788
1,600,1.028847
1,615,1.01323
1,630,0.997927
1,645,0.9829288
1,660,0.9682271
1,675,0.9538139
1,690,0.9396816
1,705,0.9258233
1,720,0.912232
1,735,0.8989012
1,750,0.8858246
1,765,0.8729961
1,780,0.86041
1,795,0.8480605
1,810,0.8359421
1,825,0.8240497
1,840,0.8123779
1,855,0.8009219
1,870,0.7896765
1,885,0.7786373
1,900,0.7677994
1,915,0.7571583
1,930,0.7467098
1,945,0.7364492
1,960,0.7263727
1,975,0.7164759
1,990,0.7067549
1,1005,0.6972058
1,1020,0.6878247
1,1035,0.6786079
1,1050,0.6695517
1,1065,0.6606526
1,1080,0.651907
1,1095,0.6433116
1,1110,0.634863
1,1125,0.6265579
1,1140,0.6183933
1,1155,0.6103659
1,1170,0.6024727
1,1185,0.5947108
1,1200,0.5870773
1,1215,0.5795693
1,1230,0.5721841
1,1245,0.5649189
1,1260,0.5577713
1,1275,0.5507385
1,1290,0.5438181
1,1305,0.5370076
1,1320,0.5303046
1,1335,0.5237068
1,1350,0.517212
1,1365,0.5108178
1,1380,0.5045223
1,1395,0.4983231
1,1410,0.4922183
1,1425,0.4862058
1,1440,0.4802837
2,0,0
2,3,2.440785E-07
2,6,2.684154E-05
2,9,0.0004219012
2,12,0.002554827
2,15,0.009116153
2,18,0.02351161
2,21,0.0488903
2,24,0.08739153
2,27,0.1398141
2,30,0.2056547
2,33,0.2833791
2,36,0.3707787
2,39,0.4653178
2,42,0.5644175
2,45,0.6656499
2,48,0.7668546
2,51,0.8661894
2,54,0.962135
2,57,1.053482
2,60,1.139287
2,63,1.218842
