"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,3.458195E-07
0,6,2.028608E-05
0,9,0.0002196611
0,12,0.001184036
0,15,0.004147748
0,18,0.01090449
0,21,0.0234683
0,24,0.04368288
0,27,0.07292336
0,30,0.1119381
0,33,0.1608219
0,36,0.2190805
0,39,0.2857488
0,42,0.3595282
0,45,0.4389219
0,48,0.5223534
0,51,0.6082584
0,54,0.6951518
0,57,0.7816727
0,60,0.8666122
0,63,0.9489222
0,66,1.027718
0,69,1.102271
0,72,1.171999
0,75,1.236456
0,78,1.295315
0,81,1.34836
0,84,1.395471
0,87,1.436617
0,90,1.471842
0,93,1.501262
0,96,1.525051
0,99,1.543438
0,102,1.5567
0,105,1.565151
0,108,1.569137
0,111,1.569031
0,114,1.565219
0,117,1.558102
0,120,1.548079
0,135,1.46777
0,150,1.366353
0,165,1.269804
0,180,1.188503
0,195,1.123392
0,210,1.071595
0,225,1.029575
0,240,0.994373
0,255,0.9638574
0,270,0.9366003
0,285,0.9116793
0,300,0.8885053
0,315,0.8666984
0,330,0.8460081
0,345,0.8262631
0,360,0.8073409
0,375,0.7891506
0,390,0.7716216
0,405,0.7546976
0,420,0.7383319
0,435,0.7224854
0,450,0.7071249
0,465,0.6922215
0,480,0.6777501
0,495,0.6636882
0,510,0.6500164
0,525,0.6367168
0,540,0.6237735
0,555,0.611172
0,570,0.598899
0,585,0.5869425
0,600,0.5752911
0,615,0.5639344
0,630,0.5528627
0,645,0.5420668
0,660,0.5315381
0,675,0.5212684
0,690,0.51125
0,705,0.5014756
0,720,0.4919381
0,735,0.4826308
0,750,0.4735472
0,765,0.4646811
0,780,0.4560265
0,795,0.4475777
0,810,0.439329
0,825,0.4312751
0,840,0.4234108
0,855,0.415731
0,870,0.4082307
0,885,0.4009052
0,900,0.39375
0,915,0.3867604
0,930,0.3799321
0,945,0.3732608
0,960,0.3667425
0,975,0.3603731
0,990,0.3541487
0,1005,0.3480654
0,1020,0.3421196
0,1035,0.3363076
0,1050,0.330626
0,1065,0.3250712
0,1080,0.31964
0,1095,0.3143292
0,1110,0.3091355
0,1125,0.3040559
0,1140,0.2990874
0,1155,0.2942271
0,1170,0.2894721
0,1185,0.2848197
0,1200,0.2802671
0,1215,0.2758119
0,1230,0.2714513
0,1245,0.2671829
0,1260,0.2630044
0,1275,0.2589133
0,1290,0.2549073
0,1305,0.2509843
0,1320,0.2471421
0,1335,0.2433785
0,1350,0.2396916
0,1365,0.2360793
0,1380,0.2325396
0,1395,0.2290707
0,1410,0.2256708
0,1425,0.222338
0,1440,0.2190707
1,0,0
1,3,2.422339E-06
1,6,0.0001012904
1,9,0.0007355069
1,12,0.002922437
1,15,0.008337222
1,18,0.01907489
1,21,0.0372261
1,24,0.0644791
1,27,0.1018655
1,30,0.1496696
1,33,0.2074689
1,36,0.2742537
1,39,0.3485855
1,42,0.4287603
1,45,0.5129568
1,48,0.5993567
1,51,0.6862332
1,54,0.7720131
1,57,0.8553142
1,60,0.9349631
1,63,1.009997
1,66,1.079657
1,69,1.143376
1,72,1.200759
1,75,1.251563
1,78,1.295682
1,81,1.333124
1,84,1.363996
1,87,1.388488
1,90,1.40686
1,93,1.419425
1,96,1.426546
1,99,1.428618
1,102,1.426067
1,105,1.419332
1,108,1.408868
1,111,1.39513
1,114,1.378571
1,117,1.359632
1,120,1.338739
1,135,1.218132
1,150,1.096374
1,165,0.9926286
1,180,0.9111104
1,195,0.8487258
1,210,0.8004671
1,225,0.7618819
1,240,0.72973
1,255,0.7018742
1,270,0.6769762
1,285,0.6542166
1,300,0.6330928
1,315,0.61329
1,330,0.5946023
1,345,0.5768884
1,360,0.5600449
1,375,0.5439924
1,390,0.5286667
1,405,0.5140142
1,420,0.4999893
1,435,0.486552
1,450,0.473667
1,465,0.4613027
1,480,0.4494306
1,495,0.4380251
1,510,0.4270624
1,525,0.4165209
1,540,0.4063806
1,555,0.3966228
1,570,0.3872303
1,585,0.3781869
1,600,0.3694774
1,615,0.3610874
1,630,0.3530034
1,645,0.3452125
1,660,0.3377028
1,675,0.3304625
1,690,0.3234807
1,705,0.316747
1,720,0.3102511
1,735,0.3039837
1,750,0.2979354
1,765,0.2920975
1,780,0.2864616
1,795,0.2810196
1,810,0.2757636
1,825,0.2706864
1,840,0.2657805
1,855,0.2610393
1,870,0.256456
1,885,0.2520244
1,900,0.2477382
1,915,0.2435916
1,930,0.2395789
1,945,0.2356947
1,960,0.2319337
1,975,0.2282909
1,990,0.2247615
1,1005,0.2213408
1,1020,0.2180242
1,1035,0.2148076
1,1050,0.2116866
1,1065,0.2086575
1,1080,0.2057163
1,1095,0.2028593
1,1110,0.200083
1,1125,0.1973841
1,1140,0.1947592
1,1155,0.1922052
1,1170,0.1897191
1,1185,0.1872981
1,1200,0.1849393
1,1215,0.18264
1,1230,0.1803979
1,1245,0.1782103
1,1260,0.1760749
1,1275,0.1739896
1,1290,0.1719521
1,1305,0.1699604
1,1320,0.1680125
1,1335,0.1661064
1,1350,0.1642405
1,1365,0.162413
1,1380,0.1606222
1,1395,0.1588665
1,1410,0.1571444
1,1425,0.1554544
1,1440,0.1537952
2,0,0
2,3,4.125716E-06
2,6,0.000147077
2,9,0.001004297
2,12,0.003883679
2,15,0.01095849
2,18,0.02501579
2,21,0.04895142
2,24,0.08524638
2,27,0.1355828
2,30,0.200661
2,33,0.280198
2,36,0.3730569
2,39,0.4774479
2,42,0.5911558
2,45,0.7117525
2,48,0.8367723
2,51,0.9638498
2,54,1.090814
2,57,1.215742
2,60,1.336991
2,63,1.453197
2,66,1.563267
2,69,1.666358
2,72,1.761848
2,75,1.849313
2,78,1.928497
2,81,1.999285
2,84,2.061685
2,87,2.1158
2,90,2.161818
2,93,2.199995
2,96,2.230644
2,99,2.254122
2,102,2.270828
2,105,2.28119
2,108,2.285665
2,111,2.284725
2,114,2.278861
2,117,2.26857
2,120,2.254353
2,135,2.141346
2,150,1.997175
2,165,1.85879
2,180,1.742772
