"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,2.541857E-07
0,6,1.16808E-05
0,9,0.0001035679
0,12,0.0005023
0,15,0.001706649
0,18,0.004531098
0,21,0.01004523
0,24,0.01944173
0,27,0.03388429
0,30,0.05437457
0,33,0.08165628
0,36,0.1161628
0,39,0.1580024
0,42,0.2069737
0,45,0.2626037
0,48,0.3241987
0,51,0.3909017
0,54,0.4617494
0,57,0.5357252
0,60,0.6118038
0,63,0.6889892
0,66,0.7663419
0,69,0.842999
0,72,0.9181864
0,75,0.9912259
0,78,1.061536
0,81,1.128633
0,84,1.19212
0,87,1.251691
0,90,1.307116
0,93,1.358237
0,96,1.40496
0,99,1.447249
0,102,1.48512
0,105,1.518631
0,108,1.54788
0,111,1.572997
0,114,1.594139
0,117,1.611487
0,120,1.625242
0,135,1.647877
0,150,1.614796
0,165,1.552255
0,180,1.479675
0,195,1.408751
0,210,1.344998
0,225,1.289982
0,240,1.243223
0,255,1.203435
0,270,1.169195
0,285,1.139238
0,300,1.112546
0,315,1.088344
0,330,1.066057
0,345,1.045268
0,360,1.025673
0,375,1.007049
0,390,0.9892343
0,405,0.9721055
0,420,0.9555702
0,435,0.939557
0,450,0.9240094
0,465,0.9088826
0,480,0.8941401
0,495,0.879752
0,510,0.8656934
0,525,0.8519434
0,540,0.8384842
0,555,0.8253005
0,570,0.8123794
0,585,0.7997093
0,600,0.7872801
0,615,0.775083
0,630,0.76311
0,645,0.7513541
0,660,0.7398086
0,675,0.7284678
0,690,0.7173262
0,705,0.7063786
0,720,0.6956206
0,735,0.6850476
0,750,0.6746555
0,765,0.6644404
0,780,0.6543986
0,795,0.6445264
0,810,0.6348205
0,825,0.6252775
0,840,0.6158942
0,855,0.6066676
0,870,0.5975948
0,885,0.5886727
0,900,0.5798985
0,915,0.5712696
0,930,0.5627832
0,945,0.5544367
0,960,0.5462276
0,975,0.5381533
0,990,0.5302114
0,1005,0.5223995
0,1020,0.5147152
0,1035,0.5071563
0,1050,0.4997203
0,1065,0.4924053
0,1080,0.485209
0,1095,0.4781292
0,1110,0.471164
0,1125,0.4643111
0,1140,0.4575686
0,1155,0.4509347
0,1170,0.4444072
0,1185,0.4379843
0,1200,0.4316642
0,1215,0.425445
0,1230,0.419325
0,1245,0.4133023
0,1260,0.4073753
0,1275,0.4015422
0,1290,0.3958014
0,1305,0.3901513
0,1320,0.3845902
0,1335,0.3791166
0,1350,0.3737289
0,1365,0.3684257
0,1380,0.3632054
0,1395,0.3580666
0,1410,0.3530079
0,1425,0.3480279
0,1440,0.343125
0,1455,0.3382982
0,1470,0.3335459
0,1485,0.328867
0,1500,0.3242601
0,1515,0.3197239
0,1530,0.3152573
0,1545,0.3108591
0,1560,0.306528
0,1575,0.3022629
0,1590,0.2980627
0,1605,0.2939262
0,1620,0.2898524
0,1635,0.2858402
0,1650,0.2818885
0,1665,0.2779963
0,1680,0.2741626
0,1695,0.2703863
0,1710,0.2666666
0,1725,0.2630024
0,1740,0.2593929
0,1755,0.255837
0,1770,0.2523339
0,1785,0.2488827
0,1800,0.2454825
0,1815,0.2421325
0,1830,0.2388318
0,1845,0.2355796
0,1860,0.2323751
0,1875,0.2292176
0,1890,0.2261061
0,1905,0.2230401
0,1920,0.2200186
0,1935,0.2170411
0,1950,0.2141067
0,1965,0.2112147
0,1980,0.2083646
0,1995,0.2055555
0,2010,0.2027868
0,2025,0.2000579
0,2040,0.1973681
0,2055,0.1947168
0,2070,0.1921033
0,2085,0.1895271
0,2100,0.1869876
0,2115,0.1844841
0,2130,0.1820161
0,2145,0.1795831
0,2160,0.1771844
0,2175,0.1748196
0,2190,0.1724881
0,2205,0.1701893
0,2220,0.1679228
0,2235,0.1656881
0,2250,0.1634846
0,2265,0.1613118
0,2280,0.1591694
0,2295,0.1570568
0,2310,0.1549735
0,2325,0.1529191
0,2340,0.1508932
0,2355,0.1488954
0,2370,0.1469251
0,2385,0.144982
0,2400,0.1430656
0,2415,0.1411756
0,2430,0.1393115
0,2445,0.137473
0,2460,0.1356597
0,2475,0.1338711
0,2490,0.132107
0,2505,0.1303669
0,2520,0.1286505
0,2535,0.1269575
0,2550,0.1252875
0,2565,0.1236401
0,2580,0.122015
0,2595,0.1204119
0,2610,0.1188304
0,2625,0.1172704
0,2640,0.1157313
0,2655,0.114213
0,2670,0.112715
0,2685,0.1112373
0,2700,0.1097793
0,2715,0.1083409
0,2730,0.1069217
0,2745,0.1055216
0,2760,0.1041401
0,2775,0.1027771
0,2790,0.1014322
0,2805,0.1001053
0,2820,0.09879605
0,2835,0.09750421
0,2850,0.09622952
0,2865,0.09497175
0,2880,0.09373066
0,2895,0.09250601
0,2910,0.09129758
0,2925,0.09010514
0,2940,0.08892846
0,2955,0.08776732
0,2970,0.08662149
0,2985,0.08549079
0,3000,0.08437498
1,0,0
1,3,3.066047E-07
1,6,1.551625E-05
1,9,0.0001193976
1,12,0.0004613392
1,15,0.001257146
1,18,0.002777103
1,21,0.005329708
1,24,0.009239386
1,27,0.01482065
1,30,0.02235381
1,33,0.03206616
1,36,0.04412133
1,39,0.05861633
1,42,0.07558502
1,45,0.09500606
1,48,0.1168122
1,51,0.1408997
1,54,0.1671374
1,57,0.1953738
1,60,0.2254438
1,63,0.2571733
1,66,0.2903834
1,69,0.3248934
1,72,0.3605237
1,75,0.3970978
1,78,0.4344437
1,81,0.472396
1,84,0.5107963
1,87,0.5494944
1,90,0.5883492
1,93,0.6272284
1,96,0.6660097
1,99,0.7045799
1,102,0.7428355
1,105,0.7806826
1,108,0.8180359
1,111,0.8548191
1,114,0.8909641
1,117,0.9264107
1,120,0.9611062
1,135,1.121921
1,150,1.259449
1,165,1.372713
1,180,1.462454
1,195,1.530479
1,210,1.579236
1,225,1.611503
1,240,1.63014
1,255,1.637896
1,270,1.637264
1,285,1.630391
1,300,1.619047
1,315,1.604635
1,330,1.588226
1,345,1.570615
1,360,1.552373
1,375,1.5339
1,390,1.515466
1,405,1.497249
1,420,1.479358
1,435,1.461855
1,450,1.444771
1,465,1.428113
1,480,1.411874
1,495,1.396042
1,510,1.380595
1,525,1.365512
1,540,1.350769
1,555,1.336345
1,570,1.322217
1,585,1.308366
1,600,1.294772
1,615,1.28142
1,630,1.268294
1,645,1.255381
1,660,1.242668
1,675,1.230145
1,690,1.217802
1,705,1.20563
1,720,1.193624
1,735,1.181774
1,750,1.170077
1,765,1.158525
1,780,1.147116
1,795,1.135844
1,810,1.124705
1,825,1.113696
1,840,1.102815
1,855,1.092057
1,870,1.081421
1,885,1.070904
1,900,1.060504
1,915,1.050218
1,930,1.040044
1,945,1.029982
1,960,1.020028
1,975,1.010182
1,990,1.000441
1,1005,0.9908038
1,1020,0.9812694
1,1035,0.9718362
1,1050,0.9625027
1,1065,0.9532675
1,1080,0.9441293
1,1095,0.935087
1,1110,0.9261392
1,1125,0.9172847
1,1140,0.9085222
1,1155,0.8998508
1,1170,0.8912691
1,1185,0.8827762
1,1200,0.8743708
1,1215,0.8660519
1,1230,0.8578184
1,1245,0.8496694
1,1260,0.8416037
1,1275,0.8336204
1,1290,0.8257184
1,1305,0.8178968
1,1320,0.8101546
1,1335,0.8024909
1,1350,0.7949046
1,1365,0.7873951
1,1380,0.7799612
1,1395,0.772602
1,1410,0.7653168
1,1425,0.7581047
1,1440,0.7509647
1,1455,0.7438961
1,1470,0.7368979
1,1485,0.7299695
1,1500,0.72311
1,1515,0.7163185
1,1530,0.7095942
1,1545,0.7029366
1,1560,0.6963447
1,1575,0.6898177
1,1590,0.683355
1,1605,0.6769558
1,1620,0.6706195
1,1635,0.6643452
1,1650,0.6581323
1,1665,0.65198
1,1680,0.6458879
1,1695,0.639855
1,1710,0.6338807
1,1725,0.6279646
1,1740,0.6221057
1,1755,0.6163036
1,1770,0.6105576
1,1785,0.6048671
1,1800,0.5992315
1,1815,0.5936501
