"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,8.109378E-07
0,6,3.888566E-05
0,9,0.0002929172
0,12,0.001096902
0,15,0.00286652
0,18,0.006032067
0,21,0.01099191
0,24,0.0180815
0,27,0.02755514
0,30,0.03957837
0,33,0.05422904
0,36,0.07150471
0,39,0.09133442
0,42,0.1135923
0,45,0.1381116
0,48,0.1646979
0,51,0.1931409
0,54,0.2232239
0,57,0.254731
0,60,0.2874536
0,63,0.3211933
0,66,0.3557651
0,69,0.3909985
0,72,0.4267373
0,75,0.4628404
0,78,0.4991801
0,81,0.5356416
0,84,0.5721219
0,87,0.6085286
0,90,0.6447785
0,93,0.680797
0,96,0.7165169
0,99,0.7518772
0,102,0.7868231
0,105,0.8213045
0,108,0.8552761
0,111,0.8886966
0,114,0.9215282
0,117,0.9537368
0,120,0.9852912
0,135,1.132345
0,150,1.259809
0,165,1.36632
0,180,1.451555
0,195,1.516026
0,210,1.560891
0,225,1.587788
0,240,1.598669
0,255,1.595663
0,270,1.580947
0,285,1.556642
0,300,1.524735
0,315,1.487018
0,330,1.445062
0,345,1.400205
0,360,1.353554
0,375,1.306006
0,390,1.258269
0,405,1.21089
0,420,1.16428
0,435,1.118739
0,450,1.074476
0,465,1.031635
0,480,0.9902996
0,495,0.9505147
0,510,0.9122927
0,525,0.875623
0,540,0.8404783
0,555,0.8068192
0,570,0.7745987
0,585,0.7437645
0,600,0.714262
0,615,0.686035
0,630,0.6590275
0,645,0.6331846
0,660,0.6084526
0,675,0.5847798
0,690,0.5621167
0,705,0.5404158
0,720,0.5196321
0,735,0.4997228
0,750,0.4806473
0,765,0.4623672
0,780,0.444846
0,795,0.4280493
0,810,0.4119445
0,825,0.3965006
0,840,0.3816884
0,855,0.3674802
0,870,0.3538495
0,885,0.3407714
0,900,0.3282221
0,915,0.3161789
0,930,0.3046205
0,945,0.2935262
0,960,0.2828766
0,975,0.2726529
0,990,0.2628375
0,1005,0.2534134
0,1020,0.2443644
0,1035,0.2356748
0,1050,0.2273301
0,1065,0.2193159
0,1080,0.2116187
0,1095,0.2042255
0,1110,0.1971239
0,1125,0.1903019
0,1140,0.1837482
0,1155,0.1774518
0,1170,0.1714023
0,1185,0.1655896
0,1200,0.160004
0,1215,0.1546364
0,1230,0.1494778
0,1245,0.1445199
0,1260,0.1397544
0,1275,0.1351735
0,1290,0.1307698
0,1305,0.1265361
0,1320,0.1224655
0,1335,0.1185514
0,1350,0.1147873
0,1365,0.1111673
0,1380,0.1076856
0,1395,0.1043364
0,1410,0.1011145
0,1425,0.09801466
0,1440,0.09503198
1,0,0
1,3,5.143094E-08
1,6,2.507623E-06
1,9,2.079214E-05
1,12,9.465426E-05
1,15,0.0003143017
1,18,0.0008432519
1,21,0.001928804
1,24,0.003897066
1,27,0.007134998
1,30,0.01206438
1,33,0.01911291
1,36,0.02868642
1,39,0.04114489
1,42,0.05678421
1,45,0.07582406
1,48,0.09840156
1,51,0.1245703
1,54,0.1543038
1,57,0.1875022
1,60,0.2240016
1,63,0.2635845
1,66,0.3059906
1,69,0.3509282
1,72,0.3980844
1,75,0.4471343
1,78,0.4977495
1,81,0.5496047
1,84,0.6023835
1,87,0.655783
1,90,0.7095165
1,93,0.7633165
1,96,0.8169352
1,99,0.8701463
1,102,0.922744
1,105,0.9745436
1,108,1.02538
1,111,1.075109
1,114,1.123601
1,117,1.170748
1,120,1.216453
1,135,1.421039
1,150,1.582677
1,165,1.701422
1,180,1.780956
1,195,1.82713
1,210,1.846799
1,225,1.846841
1,240,1.833423
1,255,1.81157
1,270,1.785051
1,285,1.756477
1,300,1.727525
1,315,1.69918
1,330,1.671957
1,345,1.64607
1,360,1.621554
1,375,1.598346
1,390,1.576337
1,405,1.555399
1,420,1.535406
1,435,1.516241
1,450,1.497797
1,465,1.479983
1,480,1.462721
1,495,1.445945
1,510,1.429598
1,525,1.413634
1,540,1.398014
1,555,1.382706
