"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.0005724736
0,6,0.01420222
0,9,0.06705724
0,12,0.1763601
0,15,0.3489663
0,18,0.5859493
0,21,0.8853942
0,24,1.243924
0,27,1.657563
0,30,2.122192
0,33,2.633782
0,36,3.188479
0,39,3.782641
0,42,4.412844
0,45,5.075866
0,48,5.768675
0,51,6.48841
0,54,7.232372
0,57,7.998004
0,60,8.782887
0,63,9.584719
0,66,10.40132
0,69,11.23059
0,72,12.07056
0,75,12.91932
0,78,13.77504
0,81,14.63596
0,84,15.50038
0,87,16.36666
0,90,17.2332
0,93,18.09845
0,96,18.96088
0,99,19.81901
0,102,20.67136
0,105,21.5165
0,108,22.35301
0,111,23.1795
0,114,23.99459
0,117,24.79696
0,120,25.58529
0,135,29.27466
0,150,32.45594
0,165,35.06366
0,180,37.10372
0,195,38.63638
0,210,39.74839
0,225,40.53016
0,240,41.06356
0,255,41.41664
0,270,41.64261
0,285,41.78117
0,300,41.86081
0,315,41.9013
0,330,41.91602
0,345,41.91378
0,360,41.90036
0,375,41.87952
0,390,41.85368
0,405,41.82443
0,420,41.79284
0,435,41.7596
0,450,41.7252
0,465,41.68998
0,480,41.65417
0,495,41.61794
0,510,41.58144
0,525,41.54476
0,540,41.50797
0,555,41.47112
0,570,41.43428
0,585,41.39747
0,600,41.36073
0,615,41.32407
0,630,41.28751
0,645,41.25108
0,660,41.21478
0,675,41.17862
0,690,41.1426
0,705,41.10673
0,720,41.07102
0,735,41.03547
0,750,41.00007
0,765,40.96484
0,780,40.92976
0,795,40.89484
0,810,40.86009
0,825,40.82549
0,840,40.79105
0,855,40.75676
0,870,40.72263
0,885,40.68865
0,900,40.65482
0,915,40.62114
0,930,40.5876
0,945,40.55421
0,960,40.52095
0,975,40.48784
0,990,40.45487
0,1005,40.42203
0,1020,40.38932
0,1035,40.35675
0,1050,40.3243
0,1065,40.29198
0,1080,40.25979
0,1095,40.22771
0,1110,40.19576
0,1125,40.16393
0,1140,40.13221
0,1155,40.10061
0,1170,40.06911
0,1185,40.03773
0,1200,40.00646
0,1215,39.97529
0,1230,39.94423
0,1245,39.91327
0,1260,39.88241
0,1275,39.85165
0,1290,39.82098
0,1305,39.79041
0,1320,39.75994
0,1335,39.72956
0,1350,39.69927
0,1365,39.66906
0,1380,39.63895
0,1395,39.60892
0,1410,39.57898
0,1425,39.54911
0,1440,39.51933
0,1455,39.48963
0,1470,39.46001
0,1485,39.43046
0,1500,39.40099
0,1515,39.37159
0,1530,39.34227
0,1545,39.31302
0,1560,39.28384
0,1575,39.25473
0,1590,39.22568
0,1605,39.1967
0,1620,39.16779
0,1635,39.13895
0,1650,39.11016
0,1665,39.08144
0,1680,39.05278
0,1695,39.02419
