"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.00182073
0,6,0.03618309
0,9,0.1570177
0,12,0.3963182
0,15,0.7595851
0,18,1.233696
0,21,1.795565
0,24,2.418919
0,27,3.078624
0,30,3.75294
0,33,4.424375
0,36,5.079678
0,39,5.709393
0,42,6.3072
0,45,6.869291
0,48,7.39379
0,51,7.88024
0,54,8.329196
0,57,8.741912
0,60,9.120093
0,63,9.465697
0,66,9.780815
0,69,10.06759
0,72,10.32815
0,75,10.56457
0,78,10.77879
0,81,10.97269
0,84,11.14797
0,87,11.30627
0,90,11.44906
0,93,11.57774
0,96,11.69358
0,99,11.79776
0,102,11.89134
0,105,11.97532
0,108,12.05058
0,111,12.11793
0,114,12.17813
0,117,12.23183
0,120,12.27967
0,135,12.44811
0,150,12.53272
0,165,12.56487
0,180,12.56381
0,195,12.54144
0,210,12.50525
0,225,12.46002
0,240,12.40885
0,255,12.35383
0,270,12.29632
0,285,12.23728
0,300,12.17739
0,315,12.11709
0,330,12.05672
0,345,11.99652
0,360,11.93665
0,375,11.87724
0,390,11.81837
0,405,11.7601
0,420,11.70248
0,435,11.64553
0,450,11.58927
0,465,11.53372
0,480,11.47887
0,495,11.42472
0,510,11.37127
0,525,11.31851
0,540,11.26643
0,555,11.21501
0,570,11.16424
0,585,11.11411
0,600,11.06461
0,615,11.0157
0,630,10.96739
0,645,10.91965
0,660,10.87246
0,675,10.82581
0,690,10.77967
0,705,10.73405
0,720,10.6889
0,735,10.64423
0,750,10.6
0,765,10.55622
0,780,10.51285
0,795,10.46989
0,810,10.42731
0,825,10.38511
0,840,10.34327
0,855,10.30177
0,870,10.2606
0,885,10.21974
0,900,10.17918
0,915,10.13892
0,930,10.09892
0,945,10.05919
0,960,10.0197
0,975,9.980452
0,990,9.941428
0,1005,9.902617
0,1020,9.864008
0,1035,9.82559
0,1050,9.787353
0,1065,9.749285
0,1080,9.711378
0,1095,9.673621
0,1110,9.636006
0,1125,9.598523
0,1140,9.561165
0,1155,9.523921
0,1170,9.486785
0,1185,9.449748
0,1200,9.412803
0,1215,9.375943
0,1230,9.339161
0,1245,9.30245
0,1260,9.265804
0,1275,9.229217
0,1290,9.192683
0,1305,9.156197
0,1320,9.119753
0,1335,9.083345
0,1350,9.046971
0,1365,9.010625
0,1380,8.974302
0,1395,8.937999
0,1410,8.901712
0,1425,8.865438
0,1440,8.829171
0,1455,8.792911
0,1470,8.756653
0,1485,8.720396
0,1500,8.684135
0,1515,8.647871
0,1530,8.611599
0,1545,8.575318
0,1560,8.539027
0,1575,8.502724
0,1590,8.466407
0,1605,8.430075
0,1620,8.393726
0,1635,8.357361
0,1650,8.320977
0,1665,8.284576
0,1680,8.248156
0,1695,8.211716
0,1710,8.175256
0,1725,8.138777
0,1740,8.102278
0,1755,8.06576
0,1770,8.029222
0,1785,7.992665
0,1800,7.95609
0,1815,7.919497
0,1830,7.882887
0,1845,7.846261
0,1860,7.809618
0,1875,7.772961
0,1890,7.73629
0,1905,7.699607
0,1920,7.662913
0,1935,7.626208
0,1950,7.589495
0,1965,7.552773
0,1980,7.516047
0,1995,7.479315
0,2010,7.442581
0,2025,7.405845
0,2040,7.369109
0,2055,7.332375
0,2070,7.295645
0,2085,7.258921
0,2100,7.222203
0,2115,7.185495
0,2130,7.148798
0,2145,7.112113
0,2160,7.075444
0,2175,7.038791
0,2190,7.002157
0,2205,6.965544
0,2220,6.928954
0,2235,6.892388
0,2250,6.855849
0,2265,6.819339
0,2280,6.78286
0,2295,6.746414
0,2310,6.710003
0,2325,6.67363
0,2340,6.637295
0,2355,6.601002
0,2370,6.564753
0,2385,6.528548
0,2400,6.492392
0,2415,6.456284
0,2430,6.420229
0,2445,6.384227
0,2460,6.348281
0,2475,6.312393
0,2490,6.276564
0,2505,6.240798
0,2520,6.205095
0,2535,6.169458
0,2550,6.133888
0,2565,6.098389
0,2580,6.062961
0,2595,6.027606
0,2610,5.992327
0,2625,5.957125
0,2640,5.922001
0,2655,5.88696
0,2670,5.852
0,2685,5.817125
0,2700,5.782337
0,2715,5.747636
0,2730,5.713025
0,2745,5.678505
0,2760,5.644079
0,2775,5.609747
0,2790,5.575511
0,2805,5.541373
0,2820,5.507335
0,2835,5.473397
0,2850,5.439562
0,2865,5.405831
0,2880,5.372205
0,2895,5.338686
0,2910,5.305274
0,2925,5.271973
0,2940,5.238782
0,2955,5.205704
0,2970,5.172739
0,2985,5.139888
0,3000,5.107153
0,3015,5.074535
0,3030,5.042036
0,3045,5.009656
0,3060,4.977396
0,3075,4.945259
0,3090,4.913243
0,3105,4.881351
0,3120,4.849584
0,3135,4.817943
0,3150,4.786427
0,3165,4.75504
0,3180,4.723781
0,3195,4.692651
0,3210,4.661651
0,3225,4.630782
0,3240,4.600044
0,3255,4.569438
0,3270,4.538966
0,3285,4.508627
0,3300,4.478424
0,3315,4.448355
0,3330,4.418421
0,3345,4.388624
0,3360,4.358964
0,3375,4.329442
0,3390,4.300056
0,3405,4.27081
0,3420,4.241703
0,3435,4.212734
0,3450,4.183906
0,3465,4.155218
0,3480,4.12667
0,3495,4.098263
0,3510,4.069998
0,3525,4.041874
0,3540,4.013892
0,3555,3.986052
0,3570,3.958354
0,3585,3.930799
0,3600,3.903386
0,3615,3.876117
0,3630,3.848991
0,3645,3.822008
0,3660,3.795168
0,3675,3.768472
0,3690,3.74192
0,3705,3.715511
0,3720,3.689246
0,3735,3.663125
0,3750,3.637147
0,3765,3.611314
0,3780,3.585624
0,3795,3.560078
0,3810,3.534675
0,3825,3.509416
0,3840,3.484301
0,3855,3.459329
0,3870,3.4345
0,3885,3.409815
0,3900,3.385272
0,3915,3.360873
0,3930,3.336616
0,3945,3.312502
0,3960,3.28853
0,3975,3.2647
0,3990,3.241012
0,4005,3.217466
0,4020,3.194061
0,4035,3.170797
0,4050,3.147674
0,4065,3.124692
0,4080,3.10185
0,4095,3.079148
0,4110,3.056585
0,4125,3.034162
0,4140,3.011878
0,4155,2.989733
0,4170,2.967725
0,4185,2.945856
0,4200,2.924124
0,4215,2.902529
0,4230,2.881072
0,4245,2.85975
0,4260,2.838564
0,4275,2.817514
0,4290,2.796599
0,4305,2.775819
0,4320,2.755172
0,4335,2.73466
0,4350,2.71428
0,4365,2.694034
0,4380,2.67392
0,4395,2.653937
0,4410,2.634086
0,4425,2.614366
0,4440,2.594777
0,4455,2.575317
0,4470,2.555986
0,4485,2.536784
0,4500,2.517711
0,4515,2.498765
0,4530,2.479947
0,4545,2.461256
0,4560,2.44269
0,4575,2.42425
0,4590,2.405936
0,4605,2.387746
0,4620,2.369679
0,4635,2.351737
0,4650,2.333917
0,4665,2.316219
0,4680,2.298644
0,4695,2.281189
0,4710,2.263855
0,4725,2.246641
0,4740,2.229546
0,4755,2.21257
0,4770,2.195713
0,4785,2.178973
0,4800,2.16235
0,4815,2.145844
0,4830,2.129454
0,4845,2.113178
0,4860,2.097018
0,4875,2.080972
0,4890,2.065039
0,4905,2.049219
0,4920,2.033512
0,4935,2.017916
0,4950,2.002431
0,4965,1.987057
0,4980,1.971793
0,4995,1.956638
0,5010,1.941592
0,5025,1.926654
0,5040,1.911823
0,5055,1.897099
0,5070,1.882481
0,5085,1.867969
0,5100,1.853562
0,5115,1.83926
0,5130,1.825061
0,5145,1.810966
0,5160,1.796973
0,5175,1.783082
0,5190,1.769293
0,5205,1.755605
0,5220,1.742016
0,5235,1.728528
0,5250,1.715138
0,5265,1.701846
0,5280,1.688653
0,5295,1.675557
0,5310,1.662557
0,5325,1.649653
0,5340,1.636845
0,5355,1.624132
0,5370,1.611512
0,5385,1.598987
0,5400,1.586554
0,5415,1.574214
0,5430,1.561966
0,5445,1.549809
0,5460,1.537743
0,5475,1.525766
0,5490,1.51388
0,5505,1.502082
0,5520,1.490373
0,5535,1.478752
0,5550,1.467217
0,5565,1.45577
0,5580,1.444408
0,5595,1.433132
0,5610,1.421941
0,5625,1.410835
0,5640,1.399812
0,5655,1.388873
0,5670,1.378016
0,5685,1.367241
0,5700,1.356548
0,5715,1.345936
0,5730,1.335405
0,5745,1.324953
0,5760,1.314581
0,5775,1.304288
0,5790,1.294073
0,5805,1.283936
0,5820,1.273876
0,5835,1.263893
0,5850,1.253986
0,5865,1.244155
0,5880,1.234399
0,5895,1.224717
0,5910,1.21511
0,5925,1.205576
0,5940,1.196115
0,5955,1.186727
0,5970,1.177411
0,5985,1.168166
0,6000,1.158993
1,0,0
1,3,0.00153456
1,6,0.02875176
1,9,0.1214398
1,12,0.3039187
1,15,0.5857124
1,18,0.9664614
1,21,1.439739
1,24,1.995762
1,27,2.623168
1,30,3.310139
1,33,4.045084
1,36,4.817019
1,39,5.615778
1,42,6.432096
1,45,7.257612
1,48,8.08485
1,51,8.907163
1,54,9.71866
1,57,10.51414
1,60,11.28901
1,63,12.03927
1,66,12.7614
1,69,13.45239
1,72,14.10972
1,75,14.73133
1,78,15.31565
1,81,15.86159
1,84,16.36853
1,87,16.83633
1,90,17.2653
1,93,17.65614
1,96,18.00992
1,99,18.32799
1,102,18.61196
1,105,18.86362
1,108,19.08488
1,111,19.27773
1,114,19.44419
1,117,19.58624
1,120,19.70584
1,135,20.02938
1,150,20.03063
1,165,19.84596
1,180,19.56344
1,195,19.23666
1,210,18.89565
1,225,18.55513
1,240,18.22084
1,255,17.89413
1,270,17.57464
1,285,17.26164
1,300,16.95447
1,315,16.65271
1,330,16.3561
1,345,16.06449
1,360,15.77781
1,375,15.49603
1,390,15.21913
1,405,14.94709
1,420,14.67988
1,435,14.41748
1,450,14.15985
1,465,13.90695
1,480,13.65871
1,495,13.4151
1,510,13.17604
1,525,12.94147
1,540,12.71132
1,555,12.48553
1,570,12.26402
1,585,12.04671
1,600,11.83355
1,615,11.62444
1,630,11.41932
1,645,11.21812
1,660,11.02076
1,675,10.82717
1,690,10.63727
1,705,10.451
1,720,10.26829
1,735,10.08906
1,750,9.913258
1,765,9.740802
1,780,9.571631
1,795,9.405682
1,810,9.242888
1,825,9.08319
1,840,8.926523
1,855,8.772828
1,870,8.622046
1,885,8.474118
1,900,8.328988
1,915,8.186599
1,930,8.046895
1,945,7.909824
1,960,7.775332
1,975,7.643368
1,990,7.51388
1,1005,7.386819
1,1020,7.262136
1,1035,7.139783
1,1050,7.019713
1,1065,6.901881
1,1080,6.786241
1,1095,6.67275
1,1110,6.561362
1,1125,6.452038
1,1140,6.344734
1,1155,6.239411
1,1170,6.136029
1,1185,6.034548
1,1200,5.93493
1,1215,5.837139
1,1230,5.741136
1,1245,5.646887
1,1260,5.554356
1,1275,5.463509
1,1290,5.374312
1,1305,5.286732
1,1320,5.200737
1,1335,5.116295
1,1350,5.033374
1,1365,4.951946
1,1380,4.871979
1,1395,4.793446
1,1410,4.716316
1,1425,4.640563
1,1440,4.566159
1,1455,4.493078
1,1470,4.421292
1,1485,4.350778
1,1500,4.281508
1,1515,4.213459
1,1530,4.146608
1,1545,4.080929
1,1560,4.016401
1,1575,3.953
1,1590,3.890705
1,1605,3.829494
1,1620,3.769345
1,1635,3.710238
1,1650,3.652153
1,1665,3.59507
1,1680,3.53897
1,1695,3.483833
1,1710,3.42964
1,1725,3.376374
1,1740,3.324016
1,1755,3.27255
1,1770,3.221958
1,1785,3.172223
1,1800,3.123329
1,1815,3.07526
1,1830,3.028
1,1845,2.981533
1,1860,2.935846
1,1875,2.890922
1,1890,2.846748
1,1905,2.803309
1,1920,2.760592
1,1935,2.718583
1,1950,2.677268
1,1965,2.636636
1,1980,2.596672
1,1995,2.557365
1,2010,2.518702
1,2025,2.480672
1,2040,2.443263
1,2055,2.406463
1,2070,2.370261
1,2085,2.334646
1,2100,2.299608
1,2115,2.265136
1,2130,2.231219
1,2145,2.197848
1,2160,2.165013
1,2175,2.132703
1,2190,2.10091
1,2205,2.069624
1,2220,2.038836
1,2235,2.008538
1,2250,1.97872
1,2265,1.949374
1,2280,1.920491
1,2295,1.892064
1,2310,1.864084
1,2325,1.836543
1,2340,1.809434
1,2355,1.78275
1,2370,1.756482
1,2385,1.730623
1,2400,1.705167
1,2415,1.680106
1,2430,1.655434
1,2445,1.631143
1,2460,1.607228
1,2475,1.583682
1,2490,1.560498
1,2505,1.537671
1,2520,1.515193
1,2535,1.49306
1,2550,1.471266
1,2565,1.449805
1,2580,1.42867
1,2595,1.407857
1,2610,1.387361
1,2625,1.367175
1,2640,1.347296
